,64B,16B,% change (16B vs 64B),rel change (16B vs 64B)
__cxa_finalize,157789,157877,0.05577068109944293,88
aes_128_gcm_get_params,239043,239124,0.03388511690365332,81
opt_arg,300282,300350,0.022645380009457778,68
EVP_aes_128_cfb8,150002,150044,0.027999626671644375,42
EVP_camellia_192_ecb,176000,176042,0.023863636363636365,42
tdes_ede3_cfb8_get_params,244672,244672,0.0,0
aria_256_ccm_get_params,252165,252164,-0.0003965657406856622,-1
EVP_CipherFinal_ex,194917,194912,-0.002565194416084795,-5
strlen,461040,461004,-0.007808433107756377,-36
opt_unknown,112543,112502,-0.03643051989017531,-41
DSO_free,731787,731712,-0.010248883896543666,-75
EVP_bf_ecb,122833,122752,-0.06594319116198416,-81
EVP_blake2s256,125415,125333,-0.06538292867679305,-82
EVP_chacha20,126958,126875,-0.06537595110193922,-83
ossl_init_thread_deregister,266837,266751,-0.03222941346215105,-86
opt_next,128536,128417,-0.09258106678284683,-119
aes_128_wrap_get_params,250332,250208,-0.0495342185577553,-124
cipher_ocb_gettable_ctx_params,676085,675959,-0.018636709881154,-126
sigaction,91463,91335,-0.13994730109443163,-128
aes_192_cbc_get_params,226209,226043,-0.07338346396474058,-166
engine_pkey_meths_free,242128,241959,-0.06979779290292738,-169
aes_v8_set_encrypt_key,213501,213291,-0.09836019503421531,-210
dyld4::RuntimeState::doSingletonPatching(dyld4::DyldCacheDataConstLazyScopedWriter&),616624,616412,-0.034380757155089654,-212
EVP_aes_192_ecb,135204,134964,-0.17750954113783618,-240
ossl_method_lock_store,217038,216795,-0.1119619605783319,-243
ossl_property_match_count,254290,254005,-0.1120767627511896,-285
EVP_rc4_40,101542,101253,-0.28461129384885075,-289
camellia_cts_256_cbc_get_params,283956,283665,-0.10248066601867895,-291
ENGINE_set_name,138995,138703,-0.21007949926256342,-292
EVP_rc4_hmac_md5,143873,143541,-0.23075907223732042,-332
aria_192_cfb_get_params,239669,239333,-0.14019334999520172,-336
property_free,1031246,1030879,-0.035588016826247085,-367
ossl_prov_ctx_new,184791,184422,-0.19968504959657127,-369
EVP_aria_128_ccm,151875,151500,-0.24691358024691357,-375
EVP_aes_192_ccm,130127,129751,-0.28894848878403406,-376
EVP_aria_192_ecb,144165,143788,-0.26150591336316026,-377
aria_128_cfb_get_params,234918,234540,-0.1609072101754655,-378
EVP_sha3_384,118918,118539,-0.31870700819051784,-379
EVP_aria_128_ofb,141167,140752,-0.2939780543611467,-415
aria_192_ecb_get_params,232706,232253,-0.19466623121019655,-453
EVP_camellia_192_cfb128,187210,186748,-0.24678168901233907,-462
EVP_seed_ecb,128547,128084,-0.3601795452247038,-463
OSSL_STORE_LOADER_set_error,238500,238008,-0.20628930817610064,-492
tdes_ede3_cfb_get_params,238204,237710,-0.2073852664103038,-494
CONF_imodule_get_value,220668,220171,-0.22522522522522523,-497
ENGINE_register_EC,383583,383083,-0.13034988516175117,-500
camellia_cts_192_cbc_get_params,267673,267168,-0.18866303287967034,-505
DSO_METHOD_openssl,485880,485367,-0.10558162509261547,-513
EVP_des_ofb,107877,107341,-0.4968621670977131,-536
EVP_camellia_256_cfb8,168622,168085,-0.3184637828990286,-537
NCONF_get0_libctx,197873,197335,-0.2718915668130569,-538
ENGINE_set_flags,174628,174085,-0.31094669812401216,-543
